from,to
0,213
1,213
2,53
3,53
4,53
5,53
6,53
7,53
1,53
8,53
9,53
0,53
10,53
11,53
12,53
13,53
14,53
15,53
16,53
17,53
18,53
19,53
20,53
21,53
22,53
23,53
24,53
25,53
26,53
27,53
28,53
29,53
30,53
31,53
32,53
33,53
34,53
35,53
36,53
37,53
38,53
39,53
40,53
41,53
42,53
43,53
44,53
45,53
46,53
47,53
48,53
49,53
50,53
51,53
52,193
53,39
54,39
52,39
55,204
56,204
57,142
57,142
58,142
59,142
40,142
0,142
60,142
61,142
1,142
62,142
34,142
33,142
63,142
64,142
20,142
65,142
21,144
66,144
67,144
68,144
69,144
8,144
70,144
59,144
51,144
35,200
54,162
71,162
52,162
72,162
73,162
74,162
75,162
1,181
76,181
20,236
77,236
78,236
75,107
52,107
52,107
72,107
20,107
54,107
54,245
72,161
33,87
72,87
79,87
34,87
34,87
52,87
80,87
54,87
81,87
82,87
61,87
70,87
83,87
58,87
84,87
85,87
86,87
75,87
87,87
88,87
89,87
59,87
78,87
90,87
20,87
65,87
68,87
68,87
91,87
92,87
93,87
63,87
94,87
69,87
95,87
96,87
97,87
98,87
77,87
77,87
20,42
64,42
61,40
54,40
80,40
20,40
68,40
28,40
24,40
99,40
33,40
34,40
34,40
72,40
59,40
89,40
100,40
78,40
75,40
14,40
86,40
58,40
18,40
59,88
89,88
41,88
87,88
78,88
85,88
101,88
102,88
75,88
86,88
103,88
18,88
58,88
84,88
19,88
90,88
20,88
65,88
91,88
92,88
68,88
28,88
68,88
24,88
98,88
95,88
96,88
77,88
77,88
70,88
61,88
54,88
80,88
82,88
104,88
105,88
106,88
69,88
74,88
94,88
93,88
33,88
72,88
52,88
34,88
34,88
65,43
24,43
92,43
0,43
86,43
75,43
58,43
64,43
29,43
33,43
33,43
72,43
34,43
52,43
34,43
1,43
61,43
80,43
59,43
89,43
59,43
107,43
53,43
30,143
59,143
12,143
108,154
94,154
72,154
83,154
54,100
82,100
89,100
109,100
78,100
34,100
52,100
72,100
85,100
75,100
110,100
58,100
94,100
90,100
111,100
77,100
98,100
95,100
96,100
52,194
70,41
8,41
1,41
61,41
80,41
5,41
54,41
112,41
59,41
59,41
108,41
88,41
53,41
43,41
87,41
78,41
58,41
84,41
113,41
75,41
114,41
86,41
72,41
33,41
33,41
35,41
34,41
52,41
60,41
98,41
93,41
63,41
64,41
69,41
65,41
90,41
20,41
19,41
24,41
68,41
28,41
77,109
111,109
98,109
72,109
75,109
54,109
89,109
115,109
78,109
68,89
68,89
24,89
20,89
65,89
33,89
34,89
52,89
34,89
72,89
88,89
109,89
87,89
100,89
59,89
78,89
110,89
58,89
18,89
84,89
113,89
85,89
101,89
75,89
116,89
102,89
86,89
70,89
61,89
1,89
82,89
104,89
54,89
80,89
98,89
95,89
96,89
77,89
111,89
77,89
117,89
60,89
94,89
63,89
118,89
69,89
106,89
64,89
68,59
28,59
67,59
28,59
66,59
119,59
24,59
68,59
27,59
27,59
21,59
65,59
20,59
19,59
90,59
19,59
90,59
120,59
92,59
121,59
23,59
70,59
8,59
1,59
122,59
6,59
61,59
61,59
123,59
8,59
83,59
9,59
124,59
124,59
56,59
112,59
112,59
80,59
125,59
54,59
5,59
5,59
62,59
3,59
104,59
55,59
82,59
126,59
14,59
127,59
13,59
128,59
128,59
86,59
86,59
15,59
103,59
129,59
130,59
12,59
131,59
114,59
75,59
85,59
57,59
